id	en	ko
gor08	Al	우락
hrs11	Colton	안소니
goa00	Chevre	윤이
gor09	Rocket	4호
hip08	Harry	올리버
hrs12	Papi	마사마
kgr08	Walt	관록
mus14	Moose	핑
pbr05	Avery	쿠스케처
pig00	Curly	햄까스
goa01	Nan	순이
hip09	Hippeux	데이빗
hrs13	Julian	유니오
kgr09	Rooney	마이크
lon00	Bud	선글
mus15	Bettina	마르카
pbr06	Frank	헐크
pig01	Truffles	탱고
goa02	Billy	힘드러
lon01	Elvis	킹
mus16	Greta	복자
pbr07	Sterling	은수리
pgn00	Aurora	오로라
pig02	Rasher	글레이
flg10	Cousteau	왕서방
lon02	Rex	렉스
mus17	Penelope	찍순이
pbr08	Keaton	프랭크
pgn01	Roald	펭수
pig03	Hugh	먹고파
rbt20	Toby	토비
squ10	Ricky	갈가리
cat20	Rudy	찰스
flg11	Huck	스트로
goa04	Gruff	빌리
hrs16	Reneigh	리아나
mus18	Chadder	치즈
pbr09	Celia	티파니
pgn02	Cube	빙수
pig04	Lucy	루시
shp00	Vesta	메리어스
squ11	Cally	파슬리
cat21	Katt	쵸이
flg12	Prince	카일
lon04	Leopold	티처
pgn03	Hopper	달만이
pig05	Spork	포크
shp01	Baabara	트로와
flg13	Jambette	에스메랄다
goa06	Velma	벨마
pgn04	Friga	사브리나
shp02	Eunice	곱슬이
squ13	Tasha	나타샤
cat23	Raymond	잭슨
dog10	Bea	베이글
goa07	Kidd	염두리
lon06	Mott	릭
pgn05	Gwen	폴라
shp03	Stella	아크릴
squ14	Sylvana	실바나
flg15	Raddle	개군
goa08	Pashmina	바바라
lon07	Rory	아더
pgn06	Puck	하키
pig08	Cobb	박사
shp04	Cashmere	캐시미어
squ15	Poppy	다람
flg16	Gigi	린다
goa09	Sherb	래미
lon08	Lionel	라이오넬
pig09	Boris	보리
squ16	Sheldon	크리스
flg17	Croque	투투
squ17	Marshal	쭈니
dog14	Mac	챔프
flg18	Diva	아이다
pgn09	Wade	호떡
shp07	Willow	마리
squ18	Hazel	아이리스
dog15	Marcel	에드워드
flg19	Henry	헨리
shp08	Curlos	카를로스
dog16	Benjamin	땡칠이
shp09	Wendy	눈송이
dog17	Cherry	한나
dog18	Shep	밥
ost10	Phoebe	휘니
bul00	Angus	반데스
bul01	Rodeo	로데오
wol10	Kyle	리카르도
bul03	Stu	모리스
chn00	Goose	건태
chn01	Benedict	페니실린
wol12	Audie	모니카
bul05	T-Bone	티본
chn02	Egbert	김희
cow00	Patty	밀크
bul07	Coach	철소
cow01	Tipper	마틸다
bul08	Vic	노르망
chn05	Ava	에바
cbr10	Cheri	아세로라
elp00	Opal	오팔
duk10	Scoot	지키미
elp01	Dizzy	휴지
der10	Chelsea	첼시
duk11	Weber	아잠만
elp02	Big Top	3호
kal10	Eugene	코알
cbr13	June	메이
chn09	Becky	아리아
cow06	Norma	미자
duk12	Miranda	미란다
elp03	Eloise	엘레핀
cbr14	Pekoe	재스민
cow07	Naomi	화자
duk13	Ketchup	케첩
elp04	Margie	샐리
cbr15	Chester	팬타
elp05	Paolo	파올로
cbr16	Barold	곰시
duk15	Gloria	마릴린
elp06	Axel	엑스엘리
cbr17	Tammy	아네사
duk16	Molly	귀오미
elp07	Ellie	에끌레르
mus00	Dora	티미
cbr18	Marty	마티
duk17	Quillson	덕근
mus01	Limberg	단무지
brd11	Jacob	야곱
cbr19	Judy	미애
elp09	Tucker	맘모
hrs00	Buck	바야시코프
mus02	Bella	이자벨
hrs01	Victoria	센트엘로
mus03	Bree	사라
hrs02	Savannah	사반나
mus04	Samson	피스
hrs03	Elmer	샤브렌
mus05	Rod	쟝
bea10	Paula	레이첼
brd15	Lucha	마스카라스
hrs04	Roscoe	슈베르트
ant00	Cyrano	사지마
bea11	Ike	대공
brd16	Jacques	쪼끼
flg00	Lily	레이니
hrs05	Winnie	카로틴
rbt10	Doc	토니
squ00	Peanut	핑키
ant01	Antonio	퍼머거
bea12	Charlise	챠미
brd17	Peck	문대
cat10	Kid Cat	1호
crd00	Alfonso	알베르트
flg01	Ribbot	철컥
hrs06	Ed	꺼벙
mus08	Candi	사탕
rbt11	Claude	비니거
rhn00	Tank	탱크
squ01	Blaire	실루엣
ant02	Pango	패트라
bea13	Beardo	베어드
brd18	Sparro	춘섭
cat11	Monique	제인
crd01	Alli	크로크
flg02	Frobert	구리구리
hrs07	Cleo	아이소토프
mus09	Rizzo	조르쥐
rbt12	Francine	프랑소와
rhn01	Rhonda	론다
squ02	Filbert	리키
ant03	Anabelle	아롱이
bea14	Klaus	곰도로스
cat12	Tabby	호냥이
crd02	Boots	풍작
flg03	Camofrog	충성
hrs08	Peaches	말자
ocp00	Octavian	문복
rbt13	Chrissy	크리스틴
rhn02	Spike	스쿼트
squ03	Pecan	레베카
bea15	Megan	캔디
cat13	Stinky	땀띠
dog00	Goldie	카라멜
flg04	Drift	덕
hrs09	Annalise	실부플레
ocp01	Marina	문리나
rbt14	Hopkins	홉킨스
squ04	Nibbles	그리미
cat14	Kitty	쇼콜라
crd04	Del	파도맨
dog01	Butch	존
flg05	Wart Jr.	샘
gor10	Hans	스나일
mnk01	Nana	키키
ocp02	Zucker	탁호
rbt15	O'Hare	산토스
rhn04	Hornsby	뿌람
squ05	Agent S	2호
ant06	Snooty	스누티
cat15	Tom	밴덤
dog02	Lucky	럭키
flg06	Puddles	가위
gor11	Rilla	릴라
kgr10	Marcie	마리아
mnk02	Simon	시몬
rbt16	Carmen	초코
squ06	Caroline	캐롤라인
cat16	Merry	유네찌
crd06	Sly	하이드
dog03	Biskit	로빈
flg07	Jeremiah	드리미
mnk03	Tammi	에이프릴
rbt17	Bonbon	미미
squ07	Sally	라라미
ant08	Annalisa	설백
cat17	Felicity	예링
crd07	Gayle	앨리
dog04	Bones	토미
mnk04	Monty	몽티
rbt18	Cole	아마민
rhn07	Merengue	스트로베리
squ08	Static	스파크
ant09	Olaf	안토니오
cat18	Lolly	사이다
crd08	Drago	용남이
dog05	Portia	블랜더
flg09	Tad	텀보
mnk05	Elise	몽자
rbt19	Mira	미랑
rhn08	Renée	뿔님이
squ09	Mint	민트
cat19	Ankha	클레오
dog06	Walker	벤
mnk06	Flip	원승
dog07	Daisy	바닐라
mnk07	Shari	젤리
dog08	Cookie	베리
mnk08	Deli	델리
dog09	Maddie	마롱
ost00	Queenie	택주
pig10	Maggie	마가렛
ost01	Gladys	빅토리아
pig11	Peggy	체리
ost02	Sandy	샌디
pgn10	Boomer	팽기
